               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.022261,           0.0053979,            0.010819,             0.76326,              0.8116,             0.82087,             0.54378,            0.020176,            0.004591,            0.015919,           0.0070555,           0.0070555,           0.0070555
                  85,            0.021965,           0.0053718,            0.010871,             0.76535,             0.80773,             0.82077,             0.54414,            0.020205,           0.0045892,            0.015936,           0.0069948,           0.0069948,           0.0069948
                  86,            0.022003,           0.0053491,            0.010537,             0.76571,             0.80987,             0.82254,              0.5441,            0.020174,           0.0045867,            0.015952,           0.0069338,           0.0069338,           0.0069338
                  87,            0.021898,           0.0053505,            0.010447,             0.76564,             0.81023,             0.82319,             0.54456,            0.020195,           0.0045813,            0.015979,           0.0068726,           0.0068726,           0.0068726
                  88,            0.021743,           0.0053303,            0.010315,             0.76278,             0.81564,             0.82351,             0.54479,            0.020174,           0.0045831,            0.015978,           0.0068111,           0.0068111,           0.0068111
                  89,            0.021847,           0.0053121,            0.010102,             0.76225,             0.81748,             0.82361,             0.54537,            0.020192,           0.0045803,            0.016009,           0.0067495,           0.0067495,           0.0067495
                  90,            0.021634,           0.0053003,           0.0099533,             0.76244,             0.81801,              0.8244,             0.54563,            0.020172,           0.0045797,            0.016013,           0.0066877,           0.0066877,           0.0066877
                  91,            0.021737,           0.0053066,            0.010024,             0.78802,             0.79076,              0.8237,             0.54582,            0.020164,           0.0045778,            0.016026,           0.0066257,           0.0066257,           0.0066257
                  92,             0.02138,           0.0052867,           0.0097542,             0.78892,               0.791,             0.82412,             0.54689,            0.020166,           0.0045727,            0.016019,           0.0065636,           0.0065636,           0.0065636
                  93,            0.021368,           0.0052454,            0.008911,             0.78839,             0.79196,             0.82459,             0.54729,            0.020144,           0.0045731,            0.016019,           0.0065013,           0.0065013,           0.0065013
